transaction_type_code,display_name,description,sort_order,is_active,effective_from
DATABASE_CHANGE,Database Change,Approved structural or reference-data database change,10,true,2026-01-01
OWNER_DISTRIBUTION,Owner Distribution,Distribution of company funds to owners,20,true,2026-01-01
CAPITAL_EXPENDITURE,Capital Expenditure,Purchase or improvement of a capital asset,30,true,2026-01-01
MANUAL_JOURNAL,Manual Journal,Manually prepared General Ledger entry,40,true,2026-01-01
SUPPLIER_PAYMENT,Supplier Payment,Approved disbursement to a supplier,50,true,2026-01-01
CREDIT_EXCEPTION,Credit Exception,Temporary approved customer credit exception,60,true,2026-01-01
